FEE      ALTRO   Channel Strip   
16       32       0        1018    
16       32       1        1017    
16       32       2        1020    
16       32       3        1019    
16       32       4        1022    
16       32       5        1021    
16       32       6        1024    
16       32       7        1023    
16       32       8        1031    
16       32       9        1032    
16       32       10       1029    
16       32       11       1030    
16       32       12       1027    
16       32       13       1028    
16       32       14       1025    
16       32       15       1026    
16       33       0        1001    
16       33       1        1002    
16       33       2        1003    
16       33       3        1004    
16       33       4        1005    
16       33       5        1006    
16       33       6        1007    
16       33       7        1008    
16       33       8        1016    
16       33       9        1015    
16       33       10       1014    
16       33       11       1013    
16       33       12       1012    
16       33       13       1011    
16       33       14       1010    
16       33       15       1009    
17       34       0        2018    
17       34       1        2017    
17       34       2        2020    
17       34       3        2019    
17       34       4        2022    
17       34       5        2021    
17       34       6        2024    
17       34       7        2023    
17       34       8        2031    
17       34       9        2032    
17       34       10       2029    
17       34       11       2030    
17       34       12       2027    
17       34       13       2028    
17       34       14       2025    
17       34       15       2026    
17       35       0        2001    
17       35       1        2002    
17       35       2        2003    
17       35       3        2004    
17       35       4        2005    
17       35       5        2006    
17       35       6        2007    
17       35       7        2008    
17       35       8        2016    
17       35       9        2015    
17       35       10       2014    
17       35       11       2013    
17       35       12       2012    
17       35       13       2011    
17       35       14       2010    
17       35       15       2009    
18       36       0        2050    
18       36       1        2049    
18       36       2        2052    
18       36       3        2051    
18       36       4        2054    
18       36       5        2053    
18       36       6        2056    
18       36       7        2055    
18       36       8        2063    
18       36       9        2064    
18       36       10       2061    
18       36       11       2062    
18       36       12       2059    
18       36       13       2060    
18       36       14       2057    
18       36       15       2058    
18       37       0        2033    
18       37       1        2034    
18       37       2        2035    
18       37       3        2036    
18       37       4        2037    
18       37       5        2038    
18       37       6        2039    
18       37       7        2040    
18       37       8        2048    
18       37       9        2047    
18       37       10       2046    
18       37       11       2045    
18       37       12       2044    
18       37       13       2043    
18       37       14       2042    
18       37       15       2041    
19       38       0        3050    
19       38       1        3049    
19       38       2        3052    
19       38       3        3051    
19       38       4        3054    
19       38       5        3053    
19       38       6        3056    
19       38       7        3055    
19       38       8        3063    
19       38       9        3064    
19       38       10       3061    
19       38       11       3062    
19       38       12       3059    
19       38       13       3060    
19       38       14       3057    
19       38       15       3058    
19       39       0        3033    
19       39       1        3034    
19       39       2        3035    
19       39       3        3036    
19       39       4        3037    
19       39       5        3038    
19       39       6        3039    
19       39       7        3040    
19       39       8        3048    
19       39       9        3047    
19       39       10       3046    
19       39       11       3045    
19       39       12       3044    
19       39       13       3043    
19       39       14       3042    
19       39       15       3041    
20       40       0        3018    
20       40       1        3017    
20       40       2        3020    
20       40       3        3019    
20       40       4        3022    
20       40       5        3021    
20       40       6        3024    
20       40       7        3023    
20       40       8        3031    
20       40       9        3032    
20       40       10       3029    
20       40       11       3030    
20       40       12       3027    
20       40       13       3028    
20       40       14       3025    
20       40       15       3026    
20       41       0        3001    
20       41       1        3002    
20       41       2        3003    
20       41       3        3004    
20       41       4        3005    
20       41       5        3006    
20       41       6        3007    
20       41       7        3008    
20       41       8        3016    
20       41       9        3015    
20       41       10       3014    
