line 	address	altro	ch	strip 		address	altro	ch	strip 					
1	30	60	9			29	54	9						
2			8					8						
3			11	188				11	188					
4			10	187				10	187					
5			13	186				13	186					
6			12	185				12	185					
7			15	184				15	184					
8			14	183				14	183					
9			6	182				6	182					
10			7	181				7	181					
11			4	180				4	180					
12			5	179				5	179					
13			2	178				2	178					
14			3	177				3	177					
15			0	176				0	176					
16			1	175				1	175					
17		61	8	174			55	8	174					
18			9	173				9	173					
19			10	172				10	172					
20			11	171				11	171					
21			12	170				12	170					
22			13	169				13	169					
23			14	168				14	168					
24			15	167				15	167					
25			7	166				7	166					
26			6	165				6	165					
27			5	164				5	164					
28			4	163				4	163					
29			3	162				3	162					
30			2	161				2	161					
31			1	160				1	160					
32			0	159				0	159					
														
1	28	52	9	158		27	58	9	158					
2			8	157				8	157					
3			11	156				11	156					
4			10	155				10	155					
5			13	154				13	154					
6			12	153				12	153					
7			15	152				15	152					
8			14	151				14	151					
9			6	150				6	150					
10			7	149				7	149					
11			4	148				4	148					
12			5	147				5	147					
13			2	146				2	146					
14			3	145				3	145					
15			0	144				0	144					
16			1	143				1	143					
17		53	8	142			59	8	142					
18			9	141				9	141					
19			10	140				10	140					
20			11	139				11	139					
21			12	138				12	138					
22			13	137				13	137					
23			14	136				14	136					
24			15	135				15	135					
25			7	134				7	134					
26			6	133				6	133					
27			5	132				5	132					
28			4	131				4	131					
29			3	130				3	130					
30			2	129				2	129					
31			1	128				1	128					
32			0	127				0	127					
														
1	26	56	9	126		25	50	9	126					
2			8	125				8	125					
3			11	124				11	124					
4			10	123				10	123					
5			13	122				13	122					
6			12	121				12	121					
7			15	120				15	120					
8			14	119				14	119					
9			6	118				6	118					
10			7	117				7	117					
11			4	116				4	116					
12			5	115				5	115					
13			2	114				2	114					
14			3	113				3	113					
15			0	112				0	112					
16			1	111				1	111					
17		57	8	110			51	8	110					
18			9	109				9	109					
19			10	108				10	108					
20			11	107				11	107					
21			12	106				12	106					
22			13	105				13	105					
23			14	104				14	104					
24			15	103				15	103					
25			7	102				7	102					
26			6	101				6	101					
27			5	100				5	100					
28			4	99				4	99					
29			3	98				3	98					
30			2	97				2	97					
31			1	96				1	96					
32			0	95				0	95					
														
1	24	48	9			23	46	9			22	44	9	
2			8					8					8	
3			11	94				11	94				11	94
4			10	93				10	93				10	93
5			13	92				13	92				13	92
6			12	91				12	91				12	91
7			15	90				15	90				15	90
8			14	89				14	89				14	89
9			6	88				6	88				6	88
10			7	87				7	87				7	87
11			4	86				4	86				4	86
12			5	85				5	85				5	85
13			2	84				2	84				2	84
14			3	83				3	83				3	83
15			0	82				0	82				0	82
16			1	81				1	81				1	81
17		49	8	80			47	8	80			45	8	80
18			9	79				9	79				9	79
19			10	78				10	78				10	78
20			11	77				11	77				11	77
21			12	76				12	76				12	76
22			13	75				13	75				13	75
23			14	74				14	74				14	74
24			15	73				15	73				15	73
25			7	72				7	72				7	72
26			6	71				6	71				6	71
27			5	70				5	70				5	70
28			4	69				4	69				4	69
29			3	68				3	68				3	68
30			2	67				2	67				2	67
31			1	66				1	66				1	66
32			0	65				0	65				0	65
														
														
1	21	38	9	64		20	36	9	64		19	42	9	64
2			8	63				8	63				8	63
3			11	62				11	62				11	62
4			10	61				10	61				10	61
5			13	60				13	60				13	60
6			12	59				12	59				12	59
7			15	58				15	58				15	58
8			14	57				14	57				14	57
9			6	56				6	56				6	56
10			7	55				7	55				7	55
11			4	54				4	54				4	54
12			5	53				5	53				5	53
13			2	52				2	52				2	52
14			3	51				3	51				3	51
15			0	50				0	50				0	50
16			1	49				1	49				1	49
17		39	8	48			37	8	48			43	8	48
18			9	47				9	47				9	47
19			10	46				10	46				10	46
20			11	45				11	45				11	45
21			12	44				12	44				12	44
22			13	43				13	43				13	43
23			14	42				14	42				14	42
24			15	41				15	41				15	41
25			7	40				7	40				7	40
26			6	39				6	39				6	39
27			5	38				5	38				5	38
28			4	37				4	37				4	37
29			3	36				3	36				3	36
30			2	35				2	35				2	35
31			1	34				1	34				1	34
32			0	33				0	33				0	33
														
1	18	40	9	32		17	34	9	32		16	32	9	32
2			8	31				8	31				8	31
3			11	30				11	30				11	30
4			10	29				10	29				10	29
5			13	28				13	28				13	28
6			12	27				12	27				12	27
7			15	26				15	26				15	26
8			14	25				14	25				14	25
9			6	24				6	24				6	24
10			7	23				7	23				7	23
11			4	22				4	22				4	22
12			5	21				5	21				5	21
13			2	20				2	20				2	20
14			3	19				3	19				3	19
15			0	18				0	18				0	18
16			1	17				1	17				1	17
17		41	8	16			35	8	16			33	8	16
18			9	15				9	15				9	15
19			10	14				10	14				10	14
20			11	13				11	13				11	13
21			12	12				12	12				12	12
22			13	11				13	11				13	11
23			14	10				14	10				14	10
24			15	9				15	9				15	9
25			7	8				7	8				7	8
26			6	7				6	7				6	7
27			5	6				5	6				5	6
28			4	5				4	5				4	5
29			3	4				3	4				3	4
30			2	3				2	3				2	3
31			1	2				1	2				1	2
32			0	1				0	1				0	1
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
